Chemical,CAS,expocast
"2,4,5-Trichlorophenol",95-95-4,0.002712
"4,6-Dinitro-o-cresol",534-52-1,0.002129
Aldrin,309-00-2,4.77E-10
Azinphos-methyl,86-50-0,5.57E-07
Chlorpyrifos,2921-88-2,1.03E-05
"p,p'-DDT",50-29-3,1.10E-09
Diazinon,333-41-5,2.88E-05
Dibutyl phthalate,84-74-2,0.0001712
Dicofol,115-32-2,2.93E-05
Dieldrin,60-57-1,1.41E-09
Disulfoton,298-04-4,6.71E-07
Endosulfan,115-29-7,3.79E-07
Endrin,72-20-8,1.01E-09
Ethion,563-12-2,2.09E-07
Heptachlor,76-44-8,5.45E-07
Heptachlor epoxide,1024-57-3,3.14E-05
Methoxychlor,72-43-5,3.86E-05
Parathion,56-38-2,3.53E-07
Pentachlorophenol,87-86-5,6.81E-08
